name,country,unit,date,value
deforestation,Guatemala,%,2000,-1.1560391523329847
deforestation,Guatemala,%,2010,-0.7349701821307688
deforestation,Guatemala,%,2015,-0.3234982430698868
deforestation,Guinea,%,1990,-0.4769103903243541
deforestation,Guyana,%,1990,-0.020373989028149967
deforestation,Guyana,%,2000,-0.023916975773827287
deforestation,Guyana,%,2010,-0.06312159789976247
deforestation,Guyana,%,2015,-0.049833815060212235
deforestation,Honduras,%,1990,-0.2998090953063777
deforestation,Honduras,%,2000,-0.2991913865927441
deforestation,Honduras,%,2010,-0.3395954965956806
deforestation,Honduras,%,2015,-0.3234924185815531
deforestation,Hungary,%,1990,0.5915430839627323
deforestation,Hungary,%,2000,0.6516862120478666
deforestation,Hungary,%,2010,0.14122430230796673
deforestation,Hungary,%,2015,-0.07569802311701168
deforestation,Iceland,%,1990,7.498535442296426
deforestation,Iceland,%,2000,4.961448206503519
deforestation,Iceland,%,2010,1.5670472352809488
deforestation,Iceland,%,2015,1.32890365448505
deforestation,India,%,1990,0.5713347305201913
deforestation,India,%,2000,0.2818422571052359
deforestation,India,%,2010,0.3833314147576839
deforestation,India,%,2015,0.37612243745411417
deforestation,Indonesia,%,1990,-1.4564089586233075
deforestation,Indonesia,%,2000,-0.1600315955766193
deforestation,Indonesia,%,2015,-0.6092316046129611
deforestation,Iraq,%,1990,0.17412935323383086
deforestation,Iraq,%,2000,0.08557457212713936
deforestation,Iraq,%,2010,0
deforestation,Iraq,%,2015,0
deforestation,Ireland,%,1990,3.6543627068711535
deforestation,Ireland,%,2000,1.4277555682467162
deforestation,Ireland,%,2010,0.952275188095172
deforestation,Ireland,%,2015,0.7248201200524732
deforestation,Isle of Man,%,1990,0
deforestation,Isle of Man,%,2000,0
deforestation,Isle of Man,%,2010,0
deforestation,Isle of Man,%,2015,0
deforestation,Italy,%,2010,0.5960319183344336
deforestation,Jamaica,%,1990,-0.005755064456721921
deforestation,Jamaica,%,2000,0.7178502879078694
deforestation,Jamaica,%,2010,0.6804548303339599
deforestation,Jamaica,%,2015,0.6736397326221728
deforestation,Kuwait,%,1990,4.057971014492754
deforestation,Kuwait,%,2000,2.8865979381443303
deforestation,Kuwait,%,2010,0
deforestation,Kuwait,%,2015,0
deforestation,Kyrgyzstan,%,2000,0.4132441358286053
deforestation,Kyrgyzstan,%,2010,0.3602563268492616
deforestation,Kyrgyzstan,%,2015,1.0153298024460582
deforestation,Latvia,%,2000,0.4045047824745449
deforestation,Latvia,%,2010,0.1144680497728432
deforestation,Latvia,%,2015,0.11411082018257733
deforestation,Liberia,%,1990,-0.3549460191150044
deforestation,Liberia,%,2000,-0.3680083282254848
deforestation,Liberia,%,2010,-0.38206877743041706
deforestation,Liberia,%,2015,-0.3895097531903501
deforestation,Liechtenstein,%,1990,0
deforestation,Liechtenstein,%,2000,0
deforestation,Liechtenstein,%,2010,0
deforestation,Liechtenstein,%,2015,0
deforestation,Lithuania,%,2000,0.7425742574257426
deforestation,Lithuania,%,2010,0.15668202764976955
deforestation,Lithuania,%,2015,0.12802926383173294
deforestation,Madagascar,%,1990,-0.4885547469775696
deforestation,Malawi,%,1990,-1.1994174258217438
deforestation,Malawi,%,2000,-1.362884122399974
deforestation,Malawi,%,2010,-1.5779389112221516
deforestation,Malawi,%,2015,-1.713097034710609
deforestation,Maldives,%,1990,0
deforestation,Maldives,%,2000,0
deforestation,Maldives,%,2010,0
deforestation,Maldives,%,2015,0
deforestation,Mali,%,1990,-0.5941636582430806
deforestation,Mali,%,2000,-0.5941636582430806
deforestation,Mali,%,2010,-0.5941636582430806
deforestation,Mali,%,2015,0
deforestation,Martinique,%,1990,0.18812709030100336
deforestation,Martinique,%,2000,0.3077554370127205
deforestation,Martinique,%,2010,0.3976933784052495
deforestation,Martinique,%,2015,0.3899395593682979
deforestation,Mauritania,%,1990,-1.142761112511553
deforestation,Mauritania,%,2000,-1.2902001707617872
deforestation,Mauritania,%,2010,-1.4813201176342443
deforestation,Mauritania,%,2015,-1.6027526173391375
deforestation,Mauritius,%,1990,0.21913805697589486
deforestation,Mauritius,%,2000,-0.8347245409015025
deforestation,Mauritius,%,2010,-0.05209690023443606
deforestation,Mauritius,%,2015,0.2349869451697128
deforestation,Mayotte,%,1990,-1.7801047120418845
deforestation,Mayotte,%,2000,-0.8296107211231653
deforestation,Mayotte,%,2010,-0.3469812630117973
deforestation,Mayotte,%,2015,-0.35360678925035355
deforestation,Mexico,%,1990,-0.3131106866038689
deforestation,Mexico,%,2000,-0.21029125631477005
deforestation,Mexico,%,2010,-0.1829607768125001
deforestation,Mexico,%,2015,-0.1926251275611928
deforestation,Moldova,%,2000,0.8739837398373983
